review,sentiment
"$25,000 Pyramid Clues: Deep Blue Sea. Tremors. Slither. Eight Legged Freaks.<br /><br />Pyramid Category: Movies that were funnier and more thrilling than Snakes on a Plane.<br /><br />Hell, with that definition I'd have to include the relatively harrowing journey of Ted and Elaine in Airplane! as superior to Snakes in both laughs and thrills.<br /><br />The sad truth is that this isn't even close to the mother of all unintentionally intentional funny snake movies: Anaconda! Besides the never to be seen again casting of JLo-Cube-O.Wilson-Stoltz-Wuhrer in the same flick, you had Jon Voight pulling off the all-time cinematic heist. His final scene alone represents everything SOAP tried and failed to do as a ""so-ludicrous-it's-fun"" movie.<br /><br />In the end, Snakes on a Plane is definitive proof that studio execs and fanboys make the worst collaborators possible. Every big scene had been discussed and dissected so much the last year, all that was left to amuse by opening night was the amount of fanboy flop-sweat that had to be mopped up at my theater. I heard more forced laughs here than at a studio taping for ""According to Jim"".",negative
"0.5/10. This movie has absolutely nothing good about it. The acting is among the worst I have ever seen, what is really amazing is that EVERYONE is awful, not just a few here and there, everyone. The direction is a joke, the low budget is hopelessly evident, the score is awful, I wouldn't say the movie was edited, brutally chopped would be a more appropriate phrase. It combines serial killings, voodoo and tarot cards. Dumb. Dumb. Dumb. It is not scary at all, the special effects are hopelessly lame. laughably bad throughout. The writing was appallingly bad. The cinematography is real cheap looking, and very grainy sometimes, and the camera-work is dreadful. Again, what really does the movie in is how badly all the actors are. Cheesy.",negative
"0*'s Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner, Mathew Walker, Will Sanderson. Directed by Uwe Boll.<br /><br />Based on the video game director Uwe Boll attempts to recreate the game into an action-packed nail biter sadly he doesn't succeed. Instead he makes one of the worst movies ever MADE! Even though he gets minor celebrity such as Christian Slater, Tara Reid and Stephen Dorff his movie lacks the necessary fundamentals that a movie needs to be good such as a story line, and some basic relativity of what's going on in the dark and the light. The movie bounces all around and Uwe Boll has no creative control. And not to mention the bad CGI used on making the monsters. Even though they did look cool and the feedings were well, a little lame. Honestly this is one of the worst movies ever made. My final rating 0/10.",negative
"102 Dalmatians (2000, Dir. Kevin Lima) <br /><br />Believed to be cured, Cruella de Vil (Close) is released from prison and sets out to make a new start in life. Things are going well for Cruella who is busy helping homeless dogs off the street. When the clock strikes on Big Ben, things turn bad. The hypnotic cure is reversed and Cruella is back, and this time she is determined to make that spotted coat she always wanted.<br /><br />Glenn Close reprises her role as Cruella de Vil and once again is the highlight of the film. Every scene with her in is worth watching in this dull sequel, which feels more of a repeat of the previous film, rather than a new story.<br /><br />She's Changed.  Ken Sheperd (Ioan Gruffudd)",negative
"102 DALMATIANS [Walt Disney]: I wasn't a fan of the previous installment and this effort has all the weaknesses of the first, a silly padded storyline, terrible over acting by Glenn Close, who hams up every scene as though she's playing for her own amusement, and incredibly borring and uninteresting lead actors. Once more the dogs are the only ""actors"" that seem ""real"" and thats a stretch. Another wasted effort here. GRADE: D",negative
"1/10 and that's only because I don't go lower with my ratings.<br /><br />skip this ""movie"" and wait for the last movie of the ""Trilogy"", don't buy or rent it. trust me you won't be missing a thing. the Architect brings no new info: _(spoiler)_ there have been more NEO's before him, he's like nr.6 or something. you could already figure something like that out from the first movie: Agent Smith telling us the first Matrix created didn't work because it was too perfect. Trinity died and Neo's ""love"" brought her back, where have I seen this before ? Oh right in the first movie the roles where reversed ! same as the action-scenes nothing new just with more opponents. the Action-scene (the 20+ ships) in the BIG battle which we didn't see (maybe in Revolutions ?), betrayed by someone (hmmmm, maybe the guy holding the knife who wanted to stab Neo?!) who pushed the EGM-button to soon.<br /><br />all in all a shameless ploy to make money (especially off the guys who went to see it more then once), which evidently worked like a charm.",negative
"11:11 a.k.a. Hell's Gate (2004) is another bad horror movie that tries too hard to be something it's not. A young girl has an imaginary play mate. One day whilst out in the fields playing with her friends, a couple of fugitives visit her parents and whack them off for no apparent reason. The young girl runs off and hides from the bad men. Years later, the girl grows up into a woman with problems. Losers at her school (looking like repressed homosexuals) flaunt their manhood in front of her when she rejected one of them. The girls hate her and life in general is miserable for her. A secret from her past returns to visit her. Who or what is it? Why does everyone hate her? What's her Guardian's problem with her? To find out you'll have to watch Hell's Gate.<br /><br />The new title makes absolutely no sense whatsoever. I don't know why people are given money to make such bad movies. This film is not even good enough to make fun of. It's a head ache inducing mess that'l confuse anyone who tries to make some sense out of it. Not worth your time.<br /><br />Not recommended.",negative
"11 years after this film was released only 5 people have reviewed it here on IMDb. There is a reason for this utter lack of interest in Across the Moon. It is coherent, but lacks all cinematic virtue. See this film for examples of terrible production in all respects. The opening credits for instance are white letters rising mechanically from a red background. The ending features Michael McKean staring out a prison window saying ""There's lots of mysteries out there."" followed by a clip montage/music video of all the uplifting moments in the tragically bad movie. Julinana Hatfield. Everything in between is awful. I struggled to find any value in this movie and have come up empty. Though it is hard to believe, even a cameo role from Burgess Meridith (always a crowd pleaser) only disappointed me further. This movie is like a mockery of what is special about movies. On paper the movie is below average. Women living together in a trailer. But what actually was produced was nearly unwatchable. The movie attempts to branch off in many directions but never follows through on any. The unappealing conflict of having their boyfriends in jail is never resolved. No conflict is ever resolved. There really is no conflict. The women attempt to become hookers, but that never happens. Instead they get jobs as a bartender and a shelf stocker. Sound exciting? IT wasn't. IT was stupid. And the bulk of the movie is the two women talking and generating contrived conflict. The women are capable actresses, but the script was beyond poor. Useless. This was a terrible movie, but it is even worst that they borough Burgess Meridith out of his retirement home to make it. Bad from start to finish. Like the lion without teeth, this film has no bite.",negative
"**1/2 for this Diane Keaton farce.<br /><br />Someone should tell Ms. Keaton, enough with your Annie Hall philosophy and hats.<br /><br />This flick is just too much as Keaton's daughter, Sara, dies in a traffic accident, while her boyfriend survives.<br /><br />Keaton, who could not be reached by phone at first, as she was in the sack with her pal and had pulled out the phone plug, grieves in a new way for grievers.<br /><br />She retreats to the summer locale where all of Sara's friends are staying. She cleans the house, sleeps for two days and then begins to reveal things which were better not to be revealed. It appears that sweet Sara slept with her girlfriend and the guy who ultimately married the latter. In addition, she had an abortion thanks to this guy. We're all now put on this guilt trip.<br /><br />Her only hope is to find the elusive diary that Sara kept. She also hopes that boyfriend,Adam, who is a playwright, will not include all this in another play.<br /><br />When the diary is found, it has been written in Japanese. Sara had a Ph.D in this language. It's not that great news for mom when an excerpt of the diary is translated by a Japanese cook in a Japanese restaurant.<br /><br />Naturally, everything seems to tie up nicely in the end. <br /><br />The title of this shmaltz comes from The Wizard of Oz. Every time mom and Sara would speak, they would both utter Surrender Dorothy.<br /><br />As if this isn't enough, during the course of this bizarre extravaganza of mourning, Keaton tells Adam not to be another Woody Allen in his film, Interiors, where he tried to successfully emulate Ingmar Bergman. Ms. Keaton also tries drugs with the group. Come on, folks, can we realistically believe that anyone in his right mind could mourn like this? <br /><br />Fair to mediocre best sums up this film.",negative
"'1408' is the latest hodge podge of cheap scare tactics. The kind that might make date-movie styled horror fans occasionally jump in their seat and scream in your ear, but disappoint audiences searching for a little depth and direction.<br /><br />John Cusak plays a writer who's made a career of writing books describing his experiences of staying in rumored haunted hotels. Despite assurances by patrons and owners that ghosts roam the halls, there is little to make him a real believer in the paranormal. When he learns of the history of Room 1408 at the Overlook Hotel--no wait, I mean, Dolphin Hotel in New York City--he decides it would make the perfect closing chapter to his latest book. But, Samuel L. Jackson, playing the hotel owner, strongly attempts to dissuade his guest with narration of the atrocities that have occurred in theat room since the hotel's opening many years ago. The story is simple and we, as possible skeptics, must sit through Jackson's lengthy foreshadowing ramble. <br /><br />In other words: be afraid! Be very afraid!<br /><br />Of course, it would be easy to convince audiences that they've just paid to see an edge-of-the-seat thriller if it didn't take so long to build up to this point. And also, if what followed was a lot more than cheap ""boos"" that become so frequent and arbitrary that eventually, you might soon expect them. The temperature in the room changes automatically. The walls drip with blood. The fearless writer can't open the door, etc. And after nearly an hour and a half of delivering these to audiences promised big thrills, you might sit and hope that at least you can be wowed by the ending. With suspicions of dream sequences and other derivative time-wasters, even that fails to quell our doubts that before the movie is over, we might finally have something to make the movie a little less than completely forgettable.<br /><br />Despite grand performances (as always) by Cusak, who essentially is the entire film, most everyone else of note is wasted (i.e. Samuel L. Jackson) in insignificant minor roles. The true mystery here is how this movie received such a high viewer rating. Ballot-stuffing ghosts?",negative
